member_number,db_id,source_member_id,household_id,full_name,tier,relationship,seniority_level,job_title,organisation_unit,physical_address,region,district,nwsc_area,town_or_ward,onboarded_via
NWSC-2026-01485,nw6e6b4d68af643ec15f8b,NWSC-MEM-002141,NWSC-HH-001234,Annet Wabwire,Staff,Principal,Field/Operations,Network Technician,Human Resource,"Plot 100, School Lane, Mbale, Mbale District, Uganda",Eastern Region,Mbale,Mbale,Mbale,DB
NWSC-2026-01486,nw24394cc210dadd84cefe,NWSC-MEM-002142,NWSC-HH-001235,Achen Tumusiime,Staff,Principal,Field/Operations,Meter Reader,Water Quality,"Plot 208, School Lane, Panyangara, Kotido District, Uganda",Eastern Region,Kotido,Kotido,Panyangara,DB
NWSC-2026-01487,nw0932c5fff5fa66afefb6,NWSC-MEM-002143,NWSC-HH-001236,Joseph Aciro,Staff,Principal,Field/Operations,Meter Reader,Engineering Services,"Plot 151, Reservoir Road, Kaberamaido, Kaberamaido District, Uganda",Eastern Region,Kaberamaido,Kaberamaido,Kaberamaido,DB
NWSC-2026-01488,nwaba061537c9c75bed34a,NWSC-MEM-002144,NWSC-HH-001237,Agnes Mutebi,Officer,Principal,Professional/Officer,Procurement Officer,Legal Services,"Plot 294, Main Street, Nakapelimoru, Kotido District, Uganda",Eastern Region,Kotido,Kotido,Nakapelimoru,DB
NWSC-2026-01489,nw7318cdad38ccd45ce302,NWSC-MEM-002145,NWSC-HH-001238,Samuel Senyonga,Officer,Principal,Professional/Officer,Procurement Officer,Public Relations & Corporate Communications,"Plot 364, Water Works Road, Kapir, Ngora District, Uganda",Eastern Region,Ngora,Ngora,Kapir,DB
NWSC-2026-01490,nw2646cea6569146bf219e,NWSC-MEM-002146,NWSC-HH-001239,Peace Waiswa,Staff,Principal,Field/Operations,Plant Operator,Kampala Water,"Plot 162, Commercial Street, Bubutu, Namisindwa District, Uganda",Eastern Region,Namisindwa,Namisindwa,Bubutu,DB
NWSC-2026-01491,nw752492e1d406ccb4daf9,NWSC-MEM-002147,NWSC-HH-001240,Abdul Nakimuli,Staff,Principal,Field/Operations,Meter Reader,Legal Services,"Plot 982, High Street, Kapir, Ngora District, Uganda",Eastern Region,Ngora,Ngora,Kapir,DB
NWSC-2026-01492,nw8faa95ee140dd1801c07,NWSC-MEM-002148,NWSC-HH-001241,Halima Otieno,Staff,Principal,Field/Operations,Network Technician,Internal Audit,"Plot 903, Main Street, Ngora, Ngora District, Uganda",Eastern Region,Ngora,Ngora,Ngora,DB
NWSC-2026-01493,nwf1e4d67e5cee22d54c82,NWSC-MEM-002149,NWSC-HH-001242,Ben Auma,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Engineering Services,"Plot 664, High Street, Kameke, Pallisa District, Uganda",Eastern Region,Pallisa,Pallisa,Kameke,DB
NWSC-2026-01494,nwf00f79fca0d5221114bc,NWSC-MEM-002150,NWSC-HH-001243,Catherine Nakimuli,Staff,Principal,Support/Admin,Customer Care Assistant,Regional Operations,"Plot 531, Hill Road, Pallisa, Pallisa District, Uganda",Eastern Region,Pallisa,Pallisa,Pallisa,DB
NWSC-2026-01495,nwa1ea80c91d211b5e1368,NWSC-MEM-002151,NWSC-HH-001244,Okello Ouma,Staff,Principal,Field/Operations,Plant Operator,Commercial & Customer Services,"Plot 84, Market Street, Karenga, Kaabong District, Uganda",Eastern Region,Kaabong,Kaabong,Karenga,DB
NWSC-2026-01496,nw2898d107640bd1ea637d,NWSC-MEM-002152,NWSC-HH-001245,Joshua Ocen,Staff,Principal,Field/Operations,Leakage Technician,Engineering Services,"Plot 926, Lake View Road, Lwakhakha, Manafwa District, Uganda",Eastern Region,Manafwa,Manafwa,Lwakhakha,DB
NWSC-2026-01497,nw567e26a5296e969c9c7a,NWSC-MEM-002153,NWSC-HH-001246,Allan Nanyonga,Staff,Principal,Support/Admin,Administrative Assistant,Commercial & Customer Services,"Plot 767, Civic Road, Kameke, Pallisa District, Uganda",Eastern Region,Pallisa,Pallisa,Kameke,DB
NWSC-2026-01498,nw10634829d626be376851,NWSC-MEM-002154,NWSC-HH-001247,Peace Agaba,Management,Principal,Regional/General Manager,Deputy Regional Manager,Internal Audit,"Plot 255, Reservoir Road, Kachumbala, Bukedea District, Uganda",Eastern Region,Bukedea,Bukedea,Kachumbala,DB
NWSC-2026-01499,nw72b6c886cbfb7964fdeb,NWSC-MEM-002155,NWSC-HH-001248,Mark Wabwire,Staff,Principal,Field/Operations,Plant Operator,Information & Business Solutions,"Plot 153, High Street, Toroma, Katakwi District, Uganda",Eastern Region,Katakwi,Katakwi,Toroma,DB
NWSC-2026-01500,nwb029b095455534f6f4d9,NWSC-MEM-002156,NWSC-HH-001249,Grace Kisembo,Officer,Principal,Professional/Officer,Commercial Officer,Legal Services,"Plot 955, Hospital Road, Butebo, Mbale District, Uganda",Eastern Region,Mbale,Mbale,Butebo,DB
NWSC-2026-01501,nw942083ba55404c4b7d77,NWSC-MEM-002157,NWSC-HH-001250,Prossy Anywar,Officer,Principal,Supervisor/Specialist,Projects Supervisor,Internal Audit,"Plot 74, Market Street, Kaabong, Kaabong District, Uganda",Eastern Region,Kaabong,Kaabong,Kaabong,DB
NWSC-2026-01502,nw734991627957c484f8c5,NWSC-MEM-002158,NWSC-HH-001251,Paul Mirembe,Staff,Principal,Support/Admin,Records Clerk,Engineering Services,"Plot 849, School Lane, Atiriri, Kaberamaido District, Uganda",Eastern Region,Kaberamaido,Kaberamaido,Atiriri,DB
NWSC-2026-01503,nw9960b6aa729456e1a5df,NWSC-MEM-002159,NWSC-HH-001252,Simon Mugisha,Officer,Principal,Professional/Officer,Procurement Officer,Planning & Capital Development,"Plot 749, Mission Road, Kaabong, Kaabong District, Uganda",Eastern Region,Kaabong,Kaabong,Kaabong,DB
NWSC-2026-01504,nwd283b68cb1a4225aade3,NWSC-MEM-002160,NWSC-HH-001253,Robert Lwanga,Officer,Principal,Professional/Officer,Civil Engineer,Regional Operations,"Plot 257, High Street, Sironko, Mbale District, Uganda",Eastern Region,Mbale,Mbale,Sironko,DB
NWSC-2026-01505,nwa42cbad9590553947457,NWSC-MEM-002161,NWSC-HH-001254,Martha Tusubira,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Commercial & Customer Services,"Plot 198, Hospital Road, Panyangara, Kotido District, Uganda",Eastern Region,Kotido,Kotido,Panyangara,DB
NWSC-2026-01506,nwd2f1f5e774ac83635114,NWSC-MEM-002162,NWSC-HH-001255,Ocen Obote,Staff,Principal,Field/Operations,Leakage Technician,Regional Operations,"Plot 476, Station Road, Kaberamaido, Kaberamaido District, Uganda",Eastern Region,Kaberamaido,Kaberamaido,Kaberamaido,DB
NWSC-2026-01507,nw871ddc0f530baf9b58a7,NWSC-MEM-002163,NWSC-HH-001256,Hassan Aciro,Staff,Principal,Support/Admin,Records Clerk,Human Resource,"Plot 634, Reservoir Road, Kotido, Kotido District, Uganda",Eastern Region,Kotido,Kotido,Kotido,DB
NWSC-2026-01508,nw654eb8984c092d1840d8,NWSC-MEM-002164,NWSC-HH-001257,Peter Nakimuli,Officer,Principal,Professional/Officer,Human Resource Officer,Internal Audit,"Plot 63, Church Road, Kachumbala, Bukedea District, Uganda",Eastern Region,Bukedea,Bukedea,Kachumbala,DB
NWSC-2026-01509,nwee18f43adf81af2cb24d,NWSC-MEM-002165,NWSC-HH-001258,Robert Ouma,Staff,Principal,Field/Operations,Field Assistant,Internal Audit,"Plot 165, Civic Road, Kapchorwa, Kapchorwa District, Uganda",Eastern Region,Kapchorwa,Kapchorwa,Kapchorwa,DB
NWSC-2026-01510,nw1ddd268fa3995e525793,NWSC-MEM-002166,NWSC-HH-001259,Simon Katumba,Officer,Principal,Professional/Officer,IT Officer,Regional Operations,"Plot 151, Station Road, Usuk, Katakwi District, Uganda",Eastern Region,Katakwi,Katakwi,Usuk,DB
NWSC-2026-01511,nw653e5a704ce73bd788ef,NWSC-MEM-002167,NWSC-HH-001260,Immaculate Okot,Officer,Principal,Supervisor/Specialist,Network Supervisor,Water Quality,"Plot 709, High Street, Matany, Moroto District, Uganda",Eastern Region,Moroto,Moroto,Matany,DB
NWSC-2026-01512,nwe271f8353a3d9d629935,NWSC-MEM-002168,NWSC-HH-001261,Violet Kahuma,Management,Principal,Regional/General Manager,Regional Manager,Kampala Water,"Plot 54, Old Kampala Road, Ngora, Ngora District, Uganda",Eastern Region,Ngora,Ngora,Ngora,DB
NWSC-2026-01513,nw3bb57e69ec9d4df664e5,NWSC-MEM-002169,NWSC-HH-001262,Joseph Opio,Officer,Principal,Supervisor/Specialist,Water Quality Specialist,Procurement & Stores,"Plot 7, Industrial Lane, Kaserem, Kapchorwa District, Uganda",Eastern Region,Kapchorwa,Kapchorwa,Kaserem,DB
NWSC-2026-01514,nwc484ff5546b3ff4d0a5c,NWSC-MEM-002170,NWSC-HH-001263,Julius Bukenya,Staff,Principal,Field/Operations,Meter Reader,Finance & Corporate Strategy,"Plot 790, Main Street, Kapchorwa, Kapchorwa District, Uganda",Eastern Region,Kapchorwa,Kapchorwa,Kapchorwa,DB
NWSC-2026-01515,nw91d7deeb16deb8c4dac1,NWSC-MEM-002171,NWSC-HH-001264,Nakato Ouma,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Water Quality,"Plot 448, Commercial Street, Kumi, Kumi District, Uganda",Eastern Region,Kumi,Kumi,Kumi,DB
NWSC-2026-01516,nwf390be89927ecbd52295,NWSC-MEM-002172,NWSC-HH-001265,Annet Bamwesigye,Staff,Principal,Field/Operations,Leakage Technician,Regional Operations,"Plot 391, Main Street, Kameke, Pallisa District, Uganda",Eastern Region,Pallisa,Pallisa,Kameke,DB
NWSC-2026-01517,nwed07cd46526a5c7960cf,NWSC-MEM-002173,NWSC-HH-001266,Peter Aciro,Staff,Principal,Field/Operations,Pump Attendant,Finance & Corporate Strategy,"Plot 751, Reservoir Road, Kachumbala, Bukedea District, Uganda",Eastern Region,Bukedea,Bukedea,Kachumbala,DB
NWSC-2026-01518,nwba83e344e2bac4ab9a5a,NWSC-MEM-002174,NWSC-HH-001267,Abdul Olanya,Officer,Principal,Professional/Officer,Procurement Officer,Internal Audit,"Plot 46, Council Road, Mukura, Ngora District, Uganda",Eastern Region,Ngora,Ngora,Mukura,DB
NWSC-2026-01519,nwa50af62d82026b0934bb,NWSC-MEM-002175,NWSC-HH-001268,Judith Nantongo,Staff,Principal,Field/Operations,Meter Reader,Finance & Corporate Strategy,"Plot 955, Industrial Lane, Moroto, Moroto District, Uganda",Eastern Region,Moroto,Moroto,Moroto,DB
NWSC-2026-01520,nw4f721b04aa7b2f303439,NWSC-MEM-002176,NWSC-HH-001269,Wasswa Ouma,Staff,Principal,Field/Operations,Network Technician,Internal Audit,"Plot 843, Hospital Road, Karenga, Kaabong District, Uganda",Eastern Region,Kaabong,Kaabong,Karenga,DB
NWSC-2026-01521,nw93c73f5ec08889854619,NWSC-MEM-002177,NWSC-HH-001270,Michael Nabirye,Staff,Principal,Field/Operations,Leakage Technician,Water Quality,"Plot 83, Council Road, Sipi, Kapchorwa District, Uganda",Eastern Region,Kapchorwa,Kapchorwa,Sipi,DB
NWSC-2026-01522,nwa004fa820ac0ba1b1791,NWSC-MEM-002178,NWSC-HH-001271,Ivan Obote,Staff,Principal,Support/Admin,Customer Care Assistant,Regional Operations,"Plot 126, Main Street, Serere, Soroti District, Uganda",Eastern Region,Soroti,Soroti,Serere,DB
NWSC-2026-01523,nwc23dd164a608af42a5a6,NWSC-MEM-002179,NWSC-HH-001272,Michael Aciro,Officer,Principal,Supervisor/Specialist,Network Supervisor,Planning & Capital Development,"Plot 49, Hill Road, Karenga, Kaabong District, Uganda",Eastern Region,Kaabong,Kaabong,Karenga,DB
NWSC-2026-01524,nw0e4d8a6e31d576753d19,NWSC-MEM-002180,NWSC-HH-001273,Lydia Anywar,Officer,Principal,Professional/Officer,IT Officer,Water Quality,"Plot 863, Market Street, Nakapelimoru, Kotido District, Uganda",Eastern Region,Kotido,Kotido,Nakapelimoru,DB
NWSC-2026-01525,nw5d2dcadb4312794de2d6,NWSC-MEM-002181,NWSC-HH-001274,Stephen Ouma,Staff,Principal,Field/Operations,Field Assistant,Finance & Corporate Strategy,"Plot 191, Lake View Road, Mukura, Ngora District, Uganda",Eastern Region,Ngora,Ngora,Mukura,DB
NWSC-2026-01526,nwce625a0c4604eda5ebbd,NWSC-MEM-002182,NWSC-HH-001275,Jackie Bamwesigye,Management,Principal,Regional/General Manager,Regional Manager,Commercial & Customer Services,"Plot 79, Lake View Road, Kotido, Kotido District, Uganda",Eastern Region,Kotido,Kotido,Kotido,DB
NWSC-2026-01527,nw94d01fc738b4c51d17cb,NWSC-MEM-002183,NWSC-HH-001276,Mary Mirembe,Officer,Principal,Supervisor/Specialist,Water Quality Specialist,Procurement & Stores,"Plot 997, Spring Road, Kapchorwa, Kapchorwa District, Uganda",Eastern Region,Kapchorwa,Kapchorwa,Kapchorwa,DB
NWSC-2026-01528,nw68325da4d8546531693f,NWSC-MEM-002184,NWSC-HH-001277,Mary Bamwesigye,Staff,Principal,Field/Operations,Leakage Technician,Planning & Capital Development,"Plot 674, Council Road, Bubutu, Namisindwa District, Uganda",Eastern Region,Namisindwa,Namisindwa,Bubutu,DB
NWSC-2026-01529,nw8bea6d808f9b66f5582a,NWSC-MEM-002185,NWSC-HH-001278,Allan Lwanga,Officer,Principal,Professional/Officer,Commercial Officer,Internal Audit,"Plot 567, Hill Road, Soroti, Soroti District, Uganda",Eastern Region,Soroti,Soroti,Soroti,DB
NWSC-2026-01530,nwc3f8950a13820e147801,NWSC-MEM-002186,NWSC-HH-001279,Ruth Kyomuhendo,Officer,Principal,Professional/Officer,Procurement Officer,Commercial & Customer Services,"Plot 207, Church Road, Kachumbala, Bukedea District, Uganda",Eastern Region,Bukedea,Bukedea,Kachumbala,DB
NWSC-2026-01531,nwa934fb474a7e387df1d6,NWSC-MEM-002187,NWSC-HH-001280,David Olanya,Staff,Principal,Support/Admin,Stores Assistant,Public Relations & Corporate Communications,"Plot 815, Water Works Road, Mukura, Ngora District, Uganda",Eastern Region,Ngora,Ngora,Mukura,DB
NWSC-2026-01532,nwdb217226b35a206da2b2,NWSC-MEM-002188,NWSC-HH-001281,Okello Tusubira,Officer,Principal,Professional/Officer,Civil Engineer,Technical Services,"Plot 701, Church Road, Magale, Namisindwa District, Uganda",Eastern Region,Namisindwa,Namisindwa,Magale,DB
NWSC-2026-01533,nwedb96965102f79b988f8,NWSC-MEM-002189,NWSC-HH-001282,Judith Nantongo,Officer,Principal,Professional/Officer,IT Officer,Public Relations & Corporate Communications,"Plot 763, Mission Road, Agule, Pallisa District, Uganda",Eastern Region,Pallisa,Pallisa,Agule,DB
NWSC-2026-01534,nwefa44761a50ead04273d,NWSC-MEM-002190,NWSC-HH-001283,Denis Okot,Staff,Principal,Field/Operations,Network Technician,Regional Operations,"Plot 598, Hospital Road, Pallisa, Pallisa District, Uganda",Eastern Region,Pallisa,Pallisa,Pallisa,DB
NWSC-2026-01535,nw1f4e04d5c6c5eae6153c,NWSC-MEM-002191,NWSC-HH-001284,Patrick Opio,Officer,Principal,Supervisor/Specialist,Network Supervisor,Internal Audit,"Plot 251, Mission Road, Kotido, Kotido District, Uganda",Eastern Region,Kotido,Kotido,Kotido,DB
NWSC-2026-01536,nw01240766f21fe8b498bd,NWSC-MEM-002192,NWSC-HH-001285,James Tumusiime,Management,Principal,Regional/General Manager,General Manager,Internal Audit,"Plot 933, School Lane, Osukuru, Tororo District, Uganda",Eastern Region,Tororo,Tororo,Osukuru,DB
NWSC-2026-01537,nw890c5c5269c9a8465d0a,NWSC-MEM-002193,NWSC-HH-001286,Rebecca Ocen,Officer,Principal,Professional/Officer,Human Resource Officer,Technical Services,"Plot 391, Market Street, Loyoro, Kaabong District, Uganda",Eastern Region,Kaabong,Kaabong,Loyoro,DB
NWSC-2026-01538,nw9dfa93b8d1c79f13b9d5,NWSC-MEM-002194,NWSC-HH-001287,Ritah Wabwire,Officer,Principal,Professional/Officer,Procurement Officer,Planning & Capital Development,"Plot 953, Main Street, Malaba, Tororo District, Uganda",Eastern Region,Tororo,Tororo,Malaba,DB
NWSC-2026-01539,nw19b0709356c92dfd6bd9,NWSC-MEM-002195,NWSC-HH-001288,Timothy Mukasa,Staff,Principal,Support/Admin,Driver,Information & Business Solutions,"Plot 846, Reservoir Road, Kangole, Moroto District, Uganda",Eastern Region,Moroto,Moroto,Kangole,DB
NWSC-2026-01540,nwb92613b5650d7608c072,NWSC-MEM-002196,NWSC-HH-001289,Susan Otieno,Officer,Principal,Professional/Officer,IT Officer,Engineering Services,"Plot 26, Lake View Road, Karenga, Kaabong District, Uganda",Eastern Region,Kaabong,Kaabong,Karenga,DB
NWSC-2026-01541,nw491d60650d5628163a55,NWSC-MEM-002197,NWSC-HH-001290,Irene Ntale,Executive,Principal,Senior Director/Director,Director of Operations,Finance & Corporate Strategy,"Plot 856, Old Kampala Road, Mbale, Mbale District, Uganda",Eastern Region,Mbale,Mbale,Mbale,DB
NWSC-2026-01542,nwbc85bff1a731d7452c97,NWSC-MEM-002198,NWSC-HH-001291,Annet Mutebi,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Technical Services,"Plot 182, Reservoir Road, Lumino, Busia District, Uganda",Eastern Region,Busia,Busia,Lumino,DB
NWSC-2026-01543,nwa7222dc2a336a9d2a3cb,NWSC-MEM-002199,NWSC-HH-001292,Rose Nanyonga,Officer,Principal,Supervisor/Specialist,Network Supervisor,Planning & Capital Development,"Plot 742, Commercial Street, Agule, Pallisa District, Uganda",Eastern Region,Pallisa,Pallisa,Agule,DB
NWSC-2026-01544,nw5bc4577663a2fd395179,NWSC-MEM-002200,NWSC-HH-001293,Julius Katumba,Officer,Principal,Professional/Officer,Commercial Officer,Kampala Water,"Plot 237, Lake View Road, Ngora, Ngora District, Uganda",Eastern Region,Ngora,Ngora,Ngora,DB
NWSC-2026-01545,nw2b4c29482d9f5c84f3b9,NWSC-MEM-002201,NWSC-HH-001294,Michael Otieno,Officer,Principal,Professional/Officer,Civil Engineer,Internal Audit,"Plot 618, Station Road, Katakwi, Katakwi District, Uganda",Eastern Region,Katakwi,Katakwi,Katakwi,DB
NWSC-2026-01546,nw626b1ccbde5ca280476a,NWSC-MEM-002202,NWSC-HH-001295,Patricia Alupo,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Legal Services,"Plot 447, Church Road, Sipi, Kapchorwa District, Uganda",Eastern Region,Kapchorwa,Kapchorwa,Sipi,DB
NWSC-2026-01547,nwba68b06ce39fdd5e0e14,NWSC-MEM-002203,NWSC-HH-001296,Martha Olanya,Staff,Principal,Field/Operations,Leakage Technician,Procurement & Stores,"Plot 72, Industrial Lane, Atiriri, Kaberamaido District, Uganda",Eastern Region,Kaberamaido,Kaberamaido,Atiriri,DB
NWSC-2026-01548,nw88bee48b151746dd6bc7,NWSC-MEM-002204,NWSC-HH-001297,Nakato Aciro,Officer,Principal,Professional/Officer,Civil Engineer,Legal Services,"Plot 524, Council Road, Manafwa, Manafwa District, Uganda",Eastern Region,Manafwa,Manafwa,Manafwa,DB
NWSC-2026-01549,nwbff648814228880a5dec,NWSC-MEM-002205,NWSC-HH-001298,Samuel Okot,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Finance & Corporate Strategy,"Plot 968, Main Street, Ngora, Ngora District, Uganda",Eastern Region,Ngora,Ngora,Ngora,DB
NWSC-2026-01550,nwa96aa06aed0d1d43d2f5,NWSC-MEM-002206,NWSC-HH-001299,David Ocen,Staff,Principal,Support/Admin,Driver,Technical Services,"Plot 639, Reservoir Road, Bubutu, Namisindwa District, Uganda",Eastern Region,Namisindwa,Namisindwa,Bubutu,DB
NWSC-2026-01551,nwd2d59bacb2d428ba7f29,NWSC-MEM-002207,NWSC-HH-001300,Brian Nsubuga,Officer,Principal,Professional/Officer,Finance Officer,Procurement & Stores,"Plot 130, Spring Road, Kameke, Pallisa District, Uganda",Eastern Region,Pallisa,Pallisa,Kameke,DB
NWSC-2026-01552,nw5e0c41ec42fcd6490396,NWSC-MEM-002208,NWSC-HH-001301,Okello Mugisha,Staff,Principal,Field/Operations,Meter Reader,Engineering Services,"Plot 372, Old Kampala Road, Busia, Busia District, Uganda",Eastern Region,Busia,Busia,Busia,DB
NWSC-2026-01553,nw31d20500014256997a6d,NWSC-MEM-002209,NWSC-HH-001302,John Akena,Officer,Principal,Professional/Officer,Commercial Officer,Legal Services,"Plot 607, Council Road, Bukedea, Bukedea District, Uganda",Eastern Region,Bukedea,Bukedea,Bukedea,DB
NWSC-2026-01554,nw13402913b2fa742cd718,NWSC-MEM-002210,NWSC-HH-001303,Richard Ouma,Officer,Principal,Supervisor/Specialist,Water Quality Specialist,Information & Business Solutions,"Plot 455, Reservoir Road, Lumino, Busia District, Uganda",Eastern Region,Busia,Busia,Lumino,DB
NWSC-2026-01555,nw9f52151faa6714dcce52,NWSC-MEM-002211,NWSC-HH-001304,Immaculate Anywar,Staff,Principal,Field/Operations,Plant Operator,Kampala Water,"Plot 676, Market Street, Panyangara, Kotido District, Uganda",Eastern Region,Kotido,Kotido,Panyangara,DB
NWSC-2026-01556,nwe90c94357b15ff2e3db0,NWSC-MEM-002212,NWSC-HH-001305,Annet Waiswa,Staff,Principal,Field/Operations,Leakage Technician,Planning & Capital Development,"Plot 181, Council Road, Kaabong, Kaabong District, Uganda",Eastern Region,Kaabong,Kaabong,Kaabong,DB
NWSC-2026-01557,nw146d5f4b3097d35420d4,NWSC-MEM-002213,NWSC-HH-001306,Wasswa Mirembe,Management,Principal,Regional/General Manager,General Manager,Human Resource,"Plot 527, High Street, Soroti, Soroti District, Uganda",Eastern Region,Soroti,Soroti,Soroti,DB
NWSC-2026-01558,nw6b9a8b8ecda80e308c48,NWSC-MEM-002214,NWSC-HH-001307,Catherine Kyomuhendo,Officer,Principal,Professional/Officer,Civil Engineer,Human Resource,"Plot 560, Church Road, Kaabong, Kaabong District, Uganda",Eastern Region,Kaabong,Kaabong,Kaabong,DB
NWSC-2026-01559,nwcb6ebe0735f5ed7013fb,NWSC-MEM-002215,NWSC-HH-001308,Brenda Nansubuga,Staff,Principal,Support/Admin,Stores Assistant,Kampala Water,"Plot 30, School Lane, Kachumbala, Bukedea District, Uganda",Eastern Region,Bukedea,Bukedea,Kachumbala,DB
NWSC-2026-01560,nw00d5177d90617f23b37f,NWSC-MEM-002216,NWSC-HH-001309,Esther Namutebi,Officer,Principal,Supervisor/Specialist,Water Quality Specialist,Water Quality,"Plot 309, Church Road, Mukura, Ngora District, Uganda",Eastern Region,Ngora,Ngora,Mukura,DB
NWSC-2026-01561,nw05c8297e20e901af6aaf,NWSC-MEM-002217,NWSC-HH-001310,Agnes Alupo,Officer,Principal,Professional/Officer,Finance Officer,Kampala Water,"Plot 976, Reservoir Road, Nagongera, Tororo District, Uganda",Eastern Region,Tororo,Tororo,Nagongera,DB
NWSC-2026-01562,nw8d0c4baa5de52f604c4d,NWSC-MEM-002218,NWSC-HH-001311,James Obote,Staff,Principal,Field/Operations,Leakage Technician,Commercial & Customer Services,"Plot 517, High Street, Agule, Pallisa District, Uganda",Eastern Region,Pallisa,Pallisa,Agule,DB
NWSC-2026-01563,nw12b97a8a4ce7c18abbc2,NWSC-MEM-002219,NWSC-HH-001312,Irene Alupo,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Commercial & Customer Services,"Plot 838, Civic Road, Matany, Moroto District, Uganda",Eastern Region,Moroto,Moroto,Matany,DB
NWSC-2026-01564,nw98d50b152281406e9e98,NWSC-MEM-002220,NWSC-HH-001313,Noah Mutebi,Staff,Principal,Support/Admin,Driver,Information & Business Solutions,"Plot 66, Lake View Road, Bubutu, Namisindwa District, Uganda",Eastern Region,Namisindwa,Namisindwa,Bubutu,DB
NWSC-2026-01565,nw6e6060f65352085353cd,NWSC-MEM-002221,NWSC-HH-001314,Mark Kyomuhendo,Officer,Principal,Professional/Officer,Commercial Officer,Finance & Corporate Strategy,"Plot 510, Mission Road, Serere, Soroti District, Uganda",Eastern Region,Soroti,Soroti,Serere,DB
NWSC-2026-01566,nwf0c8c38417dcf1bf544b,NWSC-MEM-002222,NWSC-HH-001315,Jackie Nansubuga,Management,Principal,Regional/General Manager,Regional Manager,Technical Services,"Plot 442, Reservoir Road, Butiru, Manafwa District, Uganda",Eastern Region,Manafwa,Manafwa,Butiru,DB
NWSC-2026-01567,nw0979a8f08584985d145c,NWSC-MEM-002223,NWSC-HH-001316,Stella Aciro,Staff,Principal,Field/Operations,Plant Operator,Engineering Services,"Plot 663, Church Road, Kameke, Pallisa District, Uganda",Eastern Region,Pallisa,Pallisa,Kameke,DB
NWSC-2026-01568,nwf4c49ce9def28dd530ae,NWSC-MEM-002224,NWSC-HH-001317,Judith Tumusiime,Officer,Principal,Professional/Officer,Commercial Officer,Water Quality,"Plot 275, Lake View Road, Amuria, Soroti District, Uganda",Eastern Region,Soroti,Soroti,Amuria,DB
NWSC-2026-01569,nw9d8a54aa867b97928abb,NWSC-MEM-002225,NWSC-HH-001318,Isaac Otieno,Officer,Principal,Professional/Officer,Civil Engineer,Technical Services,"Plot 394, Station Road, Toroma, Katakwi District, Uganda",Eastern Region,Katakwi,Katakwi,Toroma,DB
NWSC-2026-01570,nw8793750f71454d3ec509,NWSC-MEM-002226,NWSC-HH-001319,Aisha Kizza,Staff,Principal,Field/Operations,Leakage Technician,Internal Audit,"Plot 598, Industrial Lane, Atutur, Kumi District, Uganda",Eastern Region,Kumi,Kumi,Atutur,DB
NWSC-2026-01571,nw79176e8c1fe35d934477,NWSC-MEM-002227,NWSC-HH-001320,Mark Akena,Management,Principal,Area/Branch Manager,Customer Service Manager,Engineering Services,"Plot 776, Commercial Street, Kaberamaido, Kaberamaido District, Uganda",Eastern Region,Kaberamaido,Kaberamaido,Kaberamaido,DB
NWSC-2026-01572,nw0386dd7bcd775d29f09e,NWSC-MEM-002228,NWSC-HH-001321,Patrick Waiswa,Staff,Principal,Field/Operations,Leakage Technician,Finance & Corporate Strategy,"Plot 190, School Lane, Masafu, Busia District, Uganda",Eastern Region,Busia,Busia,Masafu,DB
NWSC-2026-01573,nwfab728b895006dd101d8,NWSC-MEM-002229,NWSC-HH-001322,Ocen Aciro,Staff,Principal,Support/Admin,Stores Assistant,Legal Services,"Plot 888, Market Street, Kameke, Pallisa District, Uganda",Eastern Region,Pallisa,Pallisa,Kameke,DB
NWSC-2026-01574,nw05af9137f379d81cd081,NWSC-MEM-002230,NWSC-HH-001323,Margaret Lwanga,Officer,Principal,Professional/Officer,Finance Officer,Kampala Water,"Plot 364, Civic Road, Agule, Pallisa District, Uganda",Eastern Region,Pallisa,Pallisa,Agule,DB
NWSC-2026-01575,nwa4814196ee87bb9417a5,NWSC-MEM-002231,NWSC-HH-001324,Simon Nakimuli,Staff,Principal,Support/Admin,Records Clerk,Internal Audit,"Plot 804, Station Road, Butiru, Manafwa District, Uganda",Eastern Region,Manafwa,Manafwa,Butiru,DB
NWSC-2026-01576,nwbb11b11f0fe0fea1de73,NWSC-MEM-002232,NWSC-HH-001325,Joseph Nantongo,Officer,Principal,Supervisor/Specialist,Billing Supervisor,Water Quality,"Plot 886, Hill Road, Toroma, Katakwi District, Uganda",Eastern Region,Katakwi,Katakwi,Toroma,DB
NWSC-2026-01577,nw5ed8696b5f2cdc5ab9e0,NWSC-MEM-002233,NWSC-HH-001326,Martha Biryomumaisho,Staff,Principal,Field/Operations,Meter Reader,Procurement & Stores,"Plot 166, Lake View Road, Kangole, Moroto District, Uganda",Eastern Region,Moroto,Moroto,Kangole,DB
